Canonical Pathways;e01=IOX.3/C;e02=T4IOX.3/T4;e03=T4IOX.3A5/T4A5;e04=IOX1/C;e05=T4IOX1/T4;e06=T4/C;e07=T4IOX.3/IOX.3;e08=T4IOX1/IOX1;e09=T4IOX.3/C;e10=T4IOX1/C;e11=T4A5/T4;e12=T4IOX.3A5/T4IOX.3;e13=T4IOX.3A5/T4;e14=T4A5/C;e15=T4IOX.3A5/IOX.3;e16=T4IOX.3A5/C
EIF2 Signaling;0,00;0,00;44,06;0,00;0,33;0,00;0,00;0,34;0,34;0,31;0,45;19,61;23,63;0,00;51,30;46,01
Major pathway of rRNA processing in the nucleolus and cytosol;0,00;0,00;45,12;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;18,37;17,49;0,00;50,17;44,63
Nonsense-Mediated Decay (NMD);0,00;0,00;44,46;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;23,36;24,20;0,00;64,94;55,55
SRP-dependent cotranslational protein targeting to membrane;0,00;0,00;43,67;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;28,55;28,53;0,00;65,78;57,76
Selenoamino acid metabolism;0,00;0,00;45,95;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;27,08;27,95;0,29;67,77;56,76
Eukaryotic Translation Initiation;0,00;0,00;51,18;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;24,19;26,81;0,00;70,55;63,51
Response of EIF2AK4 (GCN2) to amino acid deficiency;0,00;0,28;54,53;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;27,80;28,67;0,00;71,41;64,77
Eukaryotic Translation Termination;0,00;0,00;50,29;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;27,83;28,67;0,00;74,78;64,79
Eukaryotic Translation Elongation;0,00;0,00;51,43;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;26,36;28,20;0,00;74,17;67,58
Hepatic Fibrosis / Hepatic Stellate Cell Activation;1,96;0,39;2,91;1,25;4,80;17,32;16,02;17,77;15,98;21,38;26,92;13,13;13,40;14,94;6,64;5,78
Axonal Guidance Signaling;1,18;2,88;0,92;1,56;4,44;15,79;16,48;15,76;16,00;12,57;20,76;15,19;14,09;3,57;2,02;3,81
Pulmonary Fibrosis Idiopathic Signaling Pathway;2,62;0,00;1,18;0,74;6,60;13,03;15,74;13,05;15,20;13,03;22,86;15,38;14,75;9,07;4,43;4,63
Extracellular matrix organization;2,46;0,00;1,31;1,09;3,97;16,20;16,63;14,36;16,60;14,62;24,78;14,35;12,93;10,83;5,76;3,97
Collagen biosynthesis and modifying enzymes;1,27;2,85;0,74;1,44;7,20;9,38;11,30;12,98;9,72;15,83;17,19;10,27;9,96;11,56;3,86;1,23
Elastic fibre formation;0,00;0,00;0,23;0,00;2,06;10,91;9,02;9,62;10,81;8,89;16,92;11,11;11,46;11,47;8,63;7,42
Osteoarthritis Pathway;1,79;0,00;0,95;1,05;2,07;12,12;9,07;12,43;11,79;10,87;19,45;13,70;14,10;7,22;4,47;4,43
Hepatic Fibrosis Signaling Pathway;2,31;0,71;3,68;2,53;5,24;11,03;10,11;14,84;13,50;13,70;18,46;17,20;14,21;7,53;5,45;6,15
RHO GTPase cycle;0,00;0,00;1,28;0,00;1,72;8,85;9,97;13,18;11,71;13,66;14,57;12,71;14,58;1,21;1,06;2,57
ID1 Signaling Pathway;0,00;1,22;1,67;0,22;3,58;11,09;10,60;12,60;13,16;9,95;13,80;13,24;12,56;3,32;3,49;4,09
Tumor Microenvironment Pathway;0,86;0,84;2,47;1,32;7,59;10,06;11,87;12,09;11,83;11,33;14,83;11,18;10,44;3,14;4,70;4,14
Wound Healing Signaling Pathway;1,74;0,26;0,46;0,99;5,28;9,82;12,26;12,20;12,70;13,02;17,42;10,79;10,76;5,44;1,96;1,31
Cardiac Hypertrophy Signaling (Enhanced);0,44;1,75;0,71;0,36;3,86;10,83;10,07;11,40;13,08;12,90;15,34;10,64;10,32;0,77;0,62;2,10
Myelination Signaling Pathway;1,53;1,49;0,65;2,45;4,43;12,57;11,24;10,20;15,20;9,79;18,02;10,69;9,45;1,07;0,00;0,38
Coronavirus Pathogenesis Pathway;0,00;0,00;15,32;0,22;4,46;1,68;2,57;2,53;1,86;1,96;3,77;13,58;11,95;0,38;15,48;13,61
mTOR Signaling;0,00;0,00;13,85;0,61;2,88;1,42;1,39;1,93;1,04;1,45;2,27;10,37;13,39;0,34;17,57;17,47
Regulation of eIF4 and p70S6K Signaling;0,00;0,00;15,34;0,00;0,31;0,00;0,40;0,83;0,50;0,33;1,29;8,44;10,82;0,00;17,97;18,25
Integrin cell surface interactions;1,17;0,00;0,47;0,50;3,17;7,41;8,17;7,41;8,14;7,57;15,99;9,37;11,11;8,99;4,59;2,60
RAR Activation;0,52;0,00;0,32;0,52;2,74;8,47;7,71;5,93;9,64;9,23;11,24;10,15;8,69;6,21;2,52;2,23
Role of Osteoclasts in Rheumatoid Arthritis Signaling Pathway;0,64;0,00;0,37;0,39;2,99;9,55;9,71;8,91;9,27;12,90;13,92;9,96;9,71;6,11;3,83;1,44
Regulation of the Epithelial Mesenchymal Transition by Growth Factors Pathway;0,83;0,78;0,78;0,24;3,84;8,89;7,67;12,11;8,54;9,91;13,76;10,31;9,65;3,49;1,95;2,91
Assembly of collagen fibrils and other multimeric structures;1,31;0,00;0,28;0,62;3,10;8,16;7,90;9,58;7,18;10,52;13,29;8,29;8,64;5,23;2,42;1,05
Molecular Mechanisms of Cancer;0,80;0,77;0,00;1,05;4,69;9,01;7,62;8,21;9,77;7,56;13,77;6,08;5,69;2,49;0,00;0,33
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis;1,51;0,36;0,76;1,20;5,96;7,70;7,77;12,95;9,95;10,48;11,47;7,54;6,50;1,70;0,85;1,48
Human Embryonic Stem Cell Pluripotency;1,92;0,00;1,39;0,64;3,58;5,64;5,42;12,09;8,22;7,32;9,23;7,25;6,36;2,76;0,33;1,75
Interleukin-4 and Interleukin-13 signaling;0,00;0,00;1,58;0,41;6,30;8,63;7,36;4,62;7,34;5,19;11,89;7,67;9,16;4,93;1,25;0,81
Sertoli Cell-Germ Cell Junction Signaling Pathway (Enhanced);0,00;0,61;1,14;0,00;4,78;5,12;6,51;8,27;8,87;6,98;10,70;9,60;9,52;1,81;1,18;1,55
Chronic Myeloid Leukemia Signaling;0,68;0,48;1,09;0,45;4,88;7,49;8,66;7,76;10,69;6,96;12,00;11,21;9,00;0,33;0,00;0,39
Role of Tissue Factor in Cancer;0,00;0,00;0,63;0,22;4,78;6,86;8,20;8,66;9,52;8,06;11,55;12,37;9,55;2,67;1,65;1,62
Senescence Pathway;0,00;1,65;0,42;0,41;3,17;9,33;9,15;8,09;10,74;8,38;9,87;9,42;7,19;2,43;0,42;1,81
Glioblastoma Multiforme Signaling;2,05;1,43;0,60;1,37;3,57;6,85;8,59;6,32;10,05;6,11;9,70;9,52;7,94;0,52;0,56;1,88
Thrombin Signaling;0,00;0,64;1,55;0,57;4,21;7,30;6,48;6,43;9,33;8,62;8,95;10,05;10,35;0,30;1,34;2,03
Serotonin Receptor Signaling;0,00;1,66;0,43;0,00;3,27;8,80;7,26;5,43;8,12;8,19;10,53;9,44;8,70;1,10;0,52;1,46
Post-translational protein phosphorylation;0,00;0,27;2,51;0,42;1,50;5,64;5,14;2,92;6,09;3,76;9,16;4,52;5,25;6,80;4,50;3,42
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by IGFBPs;0,00;0,23;2,41;0,37;1,17;5,19;4,62;2,86;5,48;3,30;9,31;4,62;5,36;7,87;5,29;4,51
Activin Inhibin Signaling Pathway;0,78;0,00;0,55;0,59;3,15;5,09;4,17;8,21;5,49;6,12;8,74;6,42;4,73;8,51;2,34;2,52
Pathogen Induced Cytokine Storm Signaling Pathway;0,57;0,00;0,00;1,07;3,48;4,70;4,70;2,96;3,22;5,02;9,27;3,37;3,86;7,37;2,79;0,86
Collagen degradation;1,31;0,00;0,00;0,62;1,92;4,84;5,28;4,95;4,69;7,56;8,41;5,26;5,53;7,35;2,42;1,05
Collagen chain trimerization;1,45;0,00;0,00;0,75;2,06;5,13;5,85;4,40;4,49;7,27;9,69;5,63;6,55;7,55;2,17;0,85
HIF1α Signaling;0,79;1,17;2,49;2,59;9,17;8,00;6,02;8,91;8,89;10,55;9,90;7,17;8,13;2,13;3,64;3,43
IL-17A Signaling in Fibroblasts;1,16;0,88;2,25;1,24;8,75;4,42;4,11;7,71;3,23;9,12;7,64;7,26;7,10;3,29;3,32;1,33
ILK Signaling;0,00;0,00;3,09;0,64;5,02;4,59;4,11;8,00;5,46;11,00;7,54;6,63;8,71;1,34;2,76;2,05
Mitotic Metaphase and Anaphase;0,00;1,55;9,92;0,00;3,16;3,09;4,61;7,33;2,63;7,58;4,97;8,40;10,25;0,00;1,72;3,72
