Canonical Pathways;e01=IOX.3/C;e04=IOX1/C;e06=T4/C;e09=T4IOX.3/C;e10=T4IOX1/C
Eukaryotic Translation Initiation;0;0;2;2;2
SRP-dependent cotranslational protein targeting to membrane;0;0;1;2,12;2,53
Response of EIF2AK4 (GCN2) to amino acid deficiency;0;0;2,45;2,65;2,83
Major pathway of rRNA processing in the nucleolus and cytosol;0;0;-0,82;0;-0,63
Selenoamino acid metabolism;0;0;1,13;0,38;0,38
Nonsense-Mediated Decay (NMD);0;0;0;0;0
Eukaryotic Translation Termination;0;0;0;0;0
Eukaryotic Translation Elongation;0;0;0;0;0
Oxidative Phosphorylation;0;0;-1;0;-1,41
Electron transport, ATP synthesis, and heat production by uncoupling proteins;0;0;0;-0,38;-2,32
EIF2 Signaling;0;0;-1;-0,21;-0,82
Mitochondrial translation;0;0;0;0;0
Processing of Capped Intron-Containing Pre-mRNA;0;0;0,3;-0,73;-1,09
Neutrophil degranulation;0;0,82;-2,46;-1,76;-1,25
Mitotic Metaphase and Anaphase;0;0;-2,47;-3,02;-3,75
Cell Cycle Checkpoints;0;0;-1,98;-3,05;-4,54
Mitotic G2-G2/M phases;0;0;-2,79;-2,27;-2,8
Synthesis of DNA;0;0;-1,13;-2,84;-3,27
Regulation of mitotic cell cycle;0;0;-1;-2,11;-1,89
Mitochondrial Dysfunction;0;0;-1,16;-2,71;-1,34
Granzyme A Signaling;0;0;1,89;0,63;1,07
Coronavirus Pathogenesis Pathway;0;0;2,12;2,33;2,53
Elastic fibre formation;0;0;0,21;0;0,63
Collagen biosynthesis and modifying enzymes;0;0;1,35;1,3;3,24
Collagen degradation;0;0;1,15;1,34;1,96
Extracellular matrix organization;0;0;1,64;1,44;2,02
GP6 Signaling Pathway;0;0;0,19;0,54;1,76
Assembly of collagen fibrils and other multimeric structures;0;0;0,41;0,41;2,92
Collagen chain trimerization;0;0;1;1;2,4
Integrin cell surface interactions;0;0;2,65;2,34;2,83
Syndecan interactions;0;0;2,11;2,5;2,5
Macrophage Classical Activation Signaling Pathway;0;0;2,45;2,45;2,41
Pulmonary Fibrosis Idiopathic Signaling Pathway;0;0;2,78;2,92;4,33
Tumor Microenvironment Pathway;0;0;2,71;3,21;3,41
IL-17A Signaling in Fibroblasts;0;0;2,71;3,41;3,21
Pathogen Induced Cytokine Storm Signaling Pathway;0;0;2,32;2,08;3,22
IL-17 Signaling;0;0;2,06;2,14;3,4
Wound Healing Signaling Pathway;0;0;2,14;2,79;3,58
XBP1(S) activates chaperone genes;0;0;1,29;1,41;2,32
Paxillin Signaling;0;0;-0,5;1,09;1,04
Regulation of the Epithelial Mesenchymal Transition by Growth Factors Pathway;0;0;0,75;0,87;1,24
Signaling by PDGF;0;0;0,45;0,23;1,53
Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer;0;0;2,14;2,5;1,29
Human Embryonic Stem Cell Pluripotency;0;0;1,34;1,36;1,87
Hepatic Fibrosis Signaling Pathway;0;0,38;0,88;1,24;2,42
Role of Osteoclasts in Rheumatoid Arthritis Signaling Pathway;0;0;0,87;1,07;1,63
Post-translational protein phosphorylation;0;0;1,67;1,06;2,79
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by IGFBPs;0;0;1,98;1,37;3,05
TNF signaling;0;0;2,71;2,11;2,67
ABRA Signaling Pathway;0;0;2,04;2,79;2,79
Unfolded protein response;0;0;1,71;2,86;2,84
Ceramide Signaling;0;0;1,6;2,07;3,41
Cell junction organization;0;0;1,81;2,56;3,4
Actin Cytoskeleton Signaling;0;0;0,6;2,29;2,47
Thyroid Cancer Signaling;0;0;1,39;2,07;2,52
Role of IL-17F in Allergic Inflammatory Airway Diseases;0;0;2,83;3;2,89
Ephrin Receptor Signaling;0;0;1,53;2,96;2,48
RAC Signaling;0;0;1,61;2,19;2,56
Actin Nucleation by ARP-WASP Complex;0;0;2,14;2,83;2,32
CGAS-STING Signaling Pathway;0;0;2,89;2,35;2,12
tRNA Charging;0;0;3,05;2,84;2,5
Response of EIF2AK1 (HRI) to heme deficiency;0;0;3;3,16;3,16
PI3K/AKT Signaling;0;0;2,84;3,66;2,75
MSP-RON Signaling in Cancer Cells Pathway;0;0;2,13;3,77;3,29
ERK5 Signaling;0;0;2;3,44;2,98
